-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,432,432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,432,432,-1,-1,-1,-1
-1,-1,432,432,-1,-1,432,432,432,432,-1,-1,-1,-1,484,484,484,484,484,484,432,432,432,432,-1,-1
-1,-1,432,432,-1,-1,432,432,432,432,-1,-1,-1,-1,484,484,484,484,484,484,432,432,432,432,-1,-1
-1,-1,432,432,-1,-1,-1,-1,432,432,-1,-1,482,482,484,484,484,484,484,484,484,484,484,484,-1,-1
-1,-1,432,432,-1,-1,-1,-1,432,432,-1,-1,482,482,484,484,484,484,484,484,484,484,484,484,-1,-1
484,484,484,484,484,484,482,-1,432,432,-1,-1,-1,-1,432,432,484,484,484,484,484,484,484,484,-1,-1
484,484,484,484,484,484,482,-1,432,432,-1,-1,-1,-1,432,432,484,484,484,484,484,484,484,484,-1,-1
484,484,484,484,484,484,484,484,484,484,484,484,432,432,432,432,-1,432,432,-1,-1,-1,-1,-1,-1,-1
484,484,484,484,484,484,484,484,484,484,484,484,432,432,432,432,-1,432,432,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,482,484,484,484,484,484,484,484,484,432,432,-1,432,432,-1,-1,-1,482,482,482,482
-1,-1,-1,-1,-1,482,484,484,484,484,484,484,484,484,432,432,-1,432,432,-1,-1,-1,-1,-1,-1,-1
432,432,432,432,432,432,432,432,484,484,484,484,484,484,484,484,484,484,484,484,484,484,432,432,432,432
432,432,432,432,432,432,432,432,484,484,484,484,484,484,484,484,484,484,484,484,484,484,432,432,432,432
-1,-1,-1,-1,-1,-1,432,432,432,432,484,484,484,484,484,484,484,484,482,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,432,432,432,432,484,484,484,484,484,484,484,484,482,-1,-1,-1,-1,-1,-1,-1
-1,-1,432,432,432,432,432,432,-1,-1,484,484,484,484,484,484,432,432,432,432,-1,-1,432,432,-1,-1
-1,-1,432,432,432,432,432,432,-1,-1,484,484,484,484,484,484,432,432,432,432,-1,-1,432,432,-1,-1
484,484,484,484,484,484,432,432,484,484,-1,-1,-1,-1,-1,-1,-1,-1,432,432,-1,-1,432,432,-1,-1
484,484,484,484,484,484,432,432,484,484,-1,-1,-1,-1,-1,-1,-1,-1,432,432,-1,-1,432,432,-1,-1
484,484,484,484,484,484,484,484,484,484,482,482,-1,-1,482,482,-1,-1,-1,-1,-1,-1,432,432,-1,-1
484,484,484,484,484,484,484,484,484,484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,432,432,432,432,-1,-1
432,432,484,484,484,484,484,484,484,484,-1,-1,-1,-1,-1,-1,-1,-1,432,432,-1,-1,-1,-1,-1,-1
432,432,484,484,484,484,484,484,484,484,-1,432,432,432,432,-1,-1,-1,432,432,-1,-1,-1,-1,-1,-1
432,432,432,432,482,-1,-1,-1,-1,-1,-1,432,999,-1,432,-1,-1,-1,432,432,-1,-1,432,432,-1,-1
432,432,432,432,482,-1,-1,-1,-1,-1,-1,432,-1,-1,432,-1,-1,-1,432,432,-1,-1,432,432,-1,-1

